--------- beginning of main
06-21 17:34:03.175  6530 11034 D SolvePipeline: solve() ENTER — text length=5578
06-21 17:34:04.484  6530 11040 D SolvePipeline: tryExcelMatchAll: search() returned 92 hits in 1211ms
06-21 17:34:11.158  6530 11040 D SolvePipeline: L1 matched 30 questions: [5, 12, 13, 14, 15, 16, 17, 18, 19, 21, 25, 26, 32, 33, 35, 36, 37, 38, 39, 40, 44, 45, 46, 47, 53, 54, 55, 56, 57, 58]
06-21 17:34:11.177  6530 11040 W SolvePipeline: !!!Q34 text = '34、
06-21 17:34:11.177  6530 11040 W SolvePipeline: A.光缆接头盒
06-21 17:34:11.177  6530 11040 W SolvePipeline: B.余缆
06-21 17:34:11.177  6530 11040 W SolvePipeline: C.余缆架
06-21 17:34:11.177  6530 11040 W SolvePipeline: D.损伤光缆'
06-21 17:34:11.178  6530 11040 W SolvePipeline: Q34 stem empty (chinese=0, stemLines=1, optionLines=4): '34、
06-21 17:34:11.178  6530 11040 W SolvePipeline: A.光缆接头盒
06-21 17:34:11.178  6530 11040 W SolvePipeline: B.余缆
06-21 17:34:11.178  6530 11040 W SolvePipeline: C.余缆架
06-21 17:34:11.178  6530 11040 W SolvePipeline: D.损伤光缆'
06-21 17:34:11.189  6530 11040 W SolvePipeline: Q34 options search: optionsText='A.光缆接头盒 B.余缆 C.余缆架 D.损伤光缆'
06-21 17:34:11.215  6530 11040 W SolvePipeline: Q34 options match FAILED: search returned 0 KB hits >= 0.50 for 'A.光缆接头盒 B.余缆 C.余缆架 D.损伤光缆'
06-21 17:34:11.215  6530 11040 W SolvePipeline: Options search failed for Q[34]: no KB hit
06-21 17:34:11.218  6530 11040 W SolvePipeline: solve: L1=30 allQ=60 unmatchedQ=[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 20, 22, 23, 24, 27, 28, 29, 30, 31, 34, 41, 42, 43, 48, 49, 50, 51, 52, 59, 60] meaningfulQ=29 emptyStemQ=1 optionsRescued=0
